Frequency [Hz]	FFT(A) [dB]
2326,2	23,80
2329,1	24,20
2332,0	24,70
2335,0	24,90
2337,9	22,50
2340,8	23,00
2343,8	25,80
2346,7	27,20
2349,6	27,20
2352,5	26,20
2355,5	26,20
2358,4	26,20
2361,3	26,00
2364,3	26,00
2367,2	25,20
2370,1	24,30
2373,0	25,50
2376,0	25,80
2378,9	27,70
2381,8	29,90
2384,8	30,20
2387,7	29,60
2390,6	26,50
2393,6	24,00
2396,5	25,20
2399,4	25,90
2402,3	25,10
2405,3	24,80
2408,2	26,90
2411,1	27,60
2414,1	25,30
2417,0	23,40
2419,9	24,90
2422,9	25,00
2425,8	24,00
2428,7	24,90
2431,6	28,20
2434,6	29,30
2437,5	28,50
2440,4	26,20
2443,4	23,10
2446,3	24,30
2449,2	25,90
2452,1	25,00
2455,1	23,10
2458,0	21,80
2460,9	23,90
2463,9	25,30
2466,8	23,70
2469,7	22,30
2472,7	22,40
2475,6	21,90
2478,5	20,60
2481,4	20,90
2484,4	23,10
2487,3	24,10
2490,2	23,50
2493,2	21,50
2496,1	21,10
2499,0	22,70
2502,0	22,40
2504,9	21,30
2507,8	19,80
2510,7	21,50
2513,7	23,70
2516,6	23,70
2519,5	22,30
2522,5	23,70
2525,4	23,50
2528,3	21,60
2531,3	21,40
2534,2	21,30
2537,1	21,00
2540,0	19,70
2543,0	18,90
2545,9	20,50
2548,8	19,60
2551,8	20,30
2554,7	22,20
2557,6	23,80
2560,5	22,80
2563,5	21,40
2566,4	19,80
2569,3	19,70
2572,3	19,90
2575,2	20,80
2578,1	20,50
2581,1	20,00
2584,0	19,40
2586,9	20,90
2589,8	22,50
2592,8	22,00
2595,7	20,10
2598,6	20,30
2601,6	23,20
2604,5	24,50
2607,4	23,50
2610,4	21,50
2613,3	21,50
2616,2	24,40
2619,1	25,00
2622,1	24,30
2625,0	23,60
2627,9	23,00
2630,9	23,60
2633,8	24,60
2636,7	23,60
2639,6	22,90
2642,6	20,80
2645,5	20,70
2648,4	21,50
2651,4	21,40
2654,3	22,40
2657,2	24,00
2660,2	24,10
2663,1	23,80
2666,0	24,40
2668,9	26,10
2671,9	28,10
2674,8	28,00
2677,7	25,20
2680,7	23,90
2683,6	25,20
2686,5	24,80
2689,5	21,60
2692,4	19,60
2695,3	23,60
2698,2	24,60
2701,2	23,90
2704,1	21,60
2707,0	22,10
2710,0	22,40
2712,9	21,90
2715,8	21,80
2718,8	23,00
2721,7	23,80
2724,6	22,50
2727,5	21,90
2730,5	21,80
2733,4	22,50
2736,3	24,10
2739,3	23,20
2742,2	21,60
2745,1	22,10
2748,0	22,40
2751,0	23,30
2753,9	25,60
2756,8	26,70
2759,8	26,40
2762,7	24,00
2765,6	22,60
2768,6	23,70
2771,5	23,20
2774,4	21,20
2777,3	21,50
2780,3	22,00
2783,2	21,40
2786,1	22,40
2789,1	24,10
2792,0	23,90
2794,9	23,80
2797,9	24,80
2800,8	24,40
2803,7	24,80
2806,6	24,30
2809,6	23,90
2812,5	25,10
2815,4	24,80
2818,4	25,30
2821,3	23,90
2824,2	21,20
2827,1	21,80
2830,1	22,60
2833,0	21,40
2835,9	21,00
2838,9	22,50
2841,8	23,80
2844,7	23,50
2847,7	21,90
2850,6	21,60
2853,5	21,40
2856,4	23,20
2859,4	24,80
2862,3	23,50
2865,2	22,30
2868,2	24,00
2871,1	24,40
2874,0	23,20
2877,0	23,20
2879,9	21,60
2882,8	20,00
2885,7	19,10
2888,7	19,50
2891,6	21,20
2894,5	22,20
2897,5	23,10
2900,4	22,40
2903,3	21,40
2906,3	21,80
2909,2	22,80
2912,1	22,50
2915,0	22,70
2918,0	23,10
2920,9	23,30
2923,8	23,70
2926,8	23,70
2929,7	23,70
2932,6	22,90
2935,5	22,70
2938,5	22,40
2941,4	22,90
2944,3	22,40
2947,3	21,80
2950,2	20,60
2953,1	21,50
2956,1	22,20
2959,0	21,70
2961,9	21,00
2964,8	20,40
2967,8	21,90
2970,7	21,50
2973,6	19,30
2976,6	20,30
2979,5	22,00
2982,4	21,60
2985,4	19,60
2988,3	20,70
2991,2	21,40
2994,1	20,00
2997,1	19,40
3000,0	21,00
3002,9	23,20
3005,9	25,30
3008,8	24,10
3011,7	19,70
3014,6	18,10
3017,6	18,40
3020,5	19,20
3023,4	20,10
3026,4	20,90
3029,3	21,80
3032,2	21,90
3035,2	20,40
3038,1	20,00
3041,0	20,60
3043,9	19,80
3046,9	16,60
3049,8	18,80
3052,7	20,80
3055,7	20,80
3058,6	21,00
3061,5	21,80
3064,5	22,30
3067,4	22,20
3070,3	22,10
3073,2	22,10
3076,2	22,30
3079,1	22,70
3082,0	22,60
3085,0	21,70
3087,9	21,00
3090,8	21,00
3093,8	20,10
3096,7	20,10
3099,6	20,60
3102,5	19,20
3105,5	19,30
3108,4	22,30
3111,3	24,70
3114,3	25,00
3117,2	23,10
3120,1	21,00
3123,0	19,40
3126,0	20,30
3128,9	22,20
3131,8	23,30
3134,8	24,70
3137,7	24,60
3140,6	25,10
3143,6	24,50
3146,5	24,20
3149,4	22,40
3152,3	20,20
3155,3	19,90
3158,2	21,00
3161,1	22,40
3164,1	22,80
3167,0	21,60
3169,9	22,40
3172,9	23,60
3175,8	24,60
3178,7	23,60
3181,6	23,40
3184,6	22,90
3187,5	22,50
3190,4	22,40
3193,4	22,80
3196,3	22,70
3199,2	22,70
3202,1	22,70
3205,1	23,30
3208,0	22,60
3210,9	22,00
3213,9	24,50
3216,8	24,80
3219,7	24,00
3222,7	23,80
3225,6	23,70
3228,5	24,30
3231,4	24,20
3234,4	23,00
3237,3	21,80
3240,2	21,70
3243,2	22,90
3246,1	23,90
3249,0	23,70
3252,0	21,50
3254,9	20,10
3257,8	20,50
3260,7	20,20
3263,7	18,80
3266,6	18,00
3269,5	19,80
3272,5	20,50
3275,4	19,20
3278,3	17,70
3281,3	17,20
3284,2	18,10
3287,1	20,90
3290,0	21,10
3293,0	18,90
3295,9	17,40
3298,8	17,40
3301,8	17,60
3304,7	19,00
3307,6	20,60
3310,5	20,40
3313,5	19,30
3316,4	19,30
3319,3	18,60
3322,3	15,60
3325,2	17,60
3328,1	18,80
3331,1	19,00
3334,0	18,50
3336,9	19,30
3339,8	18,80
3342,8	18,10
3345,7	17,80
3348,6	20,10
3351,6	22,40
3354,5	21,70
3357,4	18,60
3360,4	16,80
3363,3	19,80
3366,2	20,40
3369,1	18,30
3372,1	19,80
3375,0	21,60
3377,9	22,90
3380,9	20,20
3383,8	16,60
3386,7	17,00
3389,6	17,90
3392,6	17,50
3395,5	17,50
3398,4	17,30
3401,4	16,30
3404,3	17,20
3407,2	18,70
3410,2	20,50
3413,1	21,00
3416,0	21,80
3418,9	23,90
3421,9	23,60
3424,8	21,20
3427,7	20,20
3430,7	21,30
3433,6	19,00
3436,5	16,90
3439,5	16,60
3442,4	17,80
3445,3	18,60
3448,2	18,40
3451,2	18,70
3454,1	21,50
3457,0	23,10
3460,0	23,40
3462,9	21,70
3465,8	21,50
3468,8	20,70
3471,7	21,30
3474,6	22,90
3477,5	23,30
3480,5	21,40
3483,4	19,30
3486,3	17,70
3489,3	18,40
3492,2	18,20
3495,1	19,80
3498,0	21,30
3501,0	21,10
3503,9	20,80
3506,8	21,20
3509,8	19,90
3512,7	18,00
3515,6	17,70
3518,6	19,30
3521,5	18,60
3524,4	17,80
3527,3	18,30
3530,3	17,40
3533,2	19,80
3536,1	22,20
3539,1	21,20
3542,0	22,50
3544,9	23,80
3547,9	24,20
3550,8	24,40
3553,7	24,40
3556,6	23,30
3559,6	22,70
3562,5	21,00
3565,4	18,70
3568,4	17,60
3571,3	16,90
3574,2	18,40
3577,1	20,20
3580,1	21,30
3583,0	20,00
3585,9	17,80
3588,9	18,50
3591,8	21,50
3594,7	21,20
3597,7	18,10
3600,6	16,70
3603,5	16,60
3606,4	19,70
3609,4	20,30
3612,3	18,90
3615,2	17,00
3618,2	18,00
3621,1	19,10
3624,0	20,10
3627,0	20,70
3629,9	21,20
3632,8	23,00
3635,7	22,80
3638,7	19,70
3641,6	18,40
3644,5	19,90
3647,5	20,40
3650,4	21,30
3653,3	21,90
3656,3	20,20
3659,2	19,40
3662,1	20,30
3665,0	21,50
3668,0	21,60
3670,9	20,20
3673,8	19,90
3676,8	20,70
3679,7	21,50
3682,6	20,20
3685,5	18,70
3688,5	17,80
3691,4	17,70
3694,3	19,80
3697,3	20,50
3700,2	19,00
3703,1	18,50
3706,1	17,00
3709,0	14,80
3711,9	14,90
3714,8	16,90
3717,8	16,90
3720,7	14,80
3723,6	16,10
3726,6	20,20
3729,5	21,00
3732,4	17,60
3735,4	15,60
3738,3	18,80
3741,2	19,30
3744,1	18,80
3747,1	18,80
3750,0	18,30
3752,9	20,30
3755,9	20,10
3758,8	20,10
3761,7	19,80
3764,6	18,10
3767,6	19,90
3770,5	20,40
3773,4	18,80
3776,4	18,50
3779,3	18,50
3782,2	18,70
3785,2	19,10
3788,1	18,30
3791,0	17,20
3793,9	15,40
3796,9	16,70
3799,8	18,80
3802,7	17,80
3805,7	18,40
3808,6	21,40
3811,5	23,10
3814,5	22,60
3817,4	21,20
3820,3	20,60
3823,2	18,00
3826,2	16,50
3829,1	18,70
3832,0	18,90
3835,0	16,40
3837,9	14,80
3840,8	15,10
3843,8	16,60
3846,7	18,90
3849,6	20,60
3852,5	20,60
3855,5	18,40
3858,4	19,10
3861,3	20,10
3864,3	19,30
3867,2	19,50
3870,1	20,70
3873,0	22,00
3876,0	22,40
3878,9	22,10
3881,8	21,60
3884,8	21,50
3887,7	19,10
3890,6	17,80
3893,6	18,90
3896,5	21,80
3899,4	22,20
3902,3	19,30
3905,3	20,00
3908,2	21,20
3911,1	19,00
3914,1	17,20
3917,0	16,10
3919,9	18,10
3922,9	19,10
3925,8	18,20
3928,7	15,80
3931,6	16,60
3934,6	18,10
3937,5	18,80
3940,4	18,50
3943,4	17,40
3946,3	21,00
3949,2	22,10
3952,1	20,70
3955,1	18,50
3958,0	16,90
3960,9	16,70
3963,9	17,40
3966,8	18,20
3969,7	18,50
3972,7	18,50
3975,6	18,20
3978,5	20,60
3981,4	21,60
3984,4	20,30
3987,3	18,40
3990,2	17,20
3993,2	20,30
3996,1	21,40
3999,0	20,90
4002,0	20,40
4004,9	18,90
4007,8	21,00
4010,7	23,20
4013,7	22,90
4016,6	20,00
4019,5	16,50
4022,5	16,70
4025,4	17,40
4028,3	17,30
4031,3	16,60
4034,2	17,70
4037,1	19,90
4040,0	20,60
4043,0	21,60
4045,9	22,30
4048,8	20,60
4051,8	17,10
4054,7	16,00
4057,6	18,20
4060,5	19,20
4063,5	17,70
4066,4	17,60
4069,3	18,40
4072,3	18,70
4075,2	17,50
4078,1	19,60
4081,1	21,40
4084,0	22,30
4086,9	22,30
4089,8	20,30
4092,8	19,00
4095,7	19,20
4098,6	18,50
